rdz,Księga Rodzaju,50
wj,Księga Wyjścia,40
kpl,Księga Kapłańska,27
lb,Księga Liczb,36
pwt,Księga Powtórzonego Prawa,34
joz,Księga Jozuego,24
sdz,Księga Sędziów,21
rt,Księga Rut,4
1sm,1 Księga Samuela,31
2sm,2 Księga Samuela,24
1krl,1 Księga Królewska,22
2krl,2 Księga Królewska,25
1krn,1 Księga Kronik,29
2krn,2 Księga Kronik,36
ezd,Księga Ezdrasza,10
ne,Księga Nehemiasza,13
est,Księga Estery,10
hi,Księga Hioba,42
ps,Księga Psalmów,150
prz,Księga Przysłów,31
koh,Księga Koheleta,12
pnp,Pieśń nad pieśniami,8
iz,Księga Izajasza,66
jr,Księga Jeremiasza,52
lm,Lamentacje Jeremiasza,5
ez,Księga Ezechiela,48
dn,Księga Daniela,14
oz,Księga Ozeasza,14
jl,Księga Joela,4
am,Księga Amosa,9
ab,Księga Abdiasza,0
jon,Księga Jonasza,4
mi,Księga Micheasza,7
na,Księga Nahuma,3
ha,Księga Habakuka,3
so,Księga Sofoniasza,3
ag,Księga Aggeusza,2
za,Księga Zachariasza,14
ml,Księga Malachiasza,3
mat,Ewangelia Mateusza,28
mar,Ewangelia Marka,16
luk,Ewangelia Łukasza,24
jan,Ewangelia Jana,21
dz,Dzieje Apostolskie,28
rz,List do Rzymian,16
1kor,1 list do Koryntian,16
2kor,2 list do Koryntian,13
gal,List do Galatów,6
ef,List do Efezjan,6
fil,List do Filipian,4
kol,List do Kolosan,4
1tes,1 List do Tesaloniczan,5
2tes,2 List do Tesaloniczan,3
1tym,1 List do Tymoteusza,6
2tym,2 List do Tymoteusza,4
tyt,List do Tytusa,3
flm,List do Filemona,0
hebr,List do Hebrajczyków,13
jak,List Jakuba,5
1p,1 List Piotra,5
2p,2 List Piotra,3
1j,1 List Jana,5
2j,2 List Jana,0
3j,3 List Jana,0
jud,List Judy,0
obj,Apokalipsa (Objawienie),22
